False;False;[38, 10];[12, 2];[1, 1, '1#1#1#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, 1];[1, 1, '1#1#1#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, 0];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -1];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -2];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -3];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -4];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -5];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -6];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#1#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, -1];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
False;False;[33, 39];[12, -7];[1, 1, '1#1#0#1', -1, -1, 9, 0, 0];DOWN
